g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.2769552820989247e-7 294 4 1 0.04 3 5.221054521751489e-7 2.61
true 3.270704281199688e-5 350 4 1 0.04 4 5.221054521751489e-7 4.22
true 3.703482605643682e-6 228 4 1 0.045 3 1.0919706383313371e-6 2.14
true 2.856023483266412e-7 426 4 1 0.045 4 1.0919706383313371e-6 4.6
true 1.0785101650645501e-7 303 4 1 0.05 3 2.252253432013266e-6 2.57
true 3.672285756040061e-7 411 4 1 0.05 4 2.252253432013266e-6 4.8
true 9.20183559349752e-7 247 4 1 0.055 3 4.37567672647471e-6 2.22
true 2.5956447677943917e-5 386 4 1 0.055 4 4.37567672647471e-6 4.46
true 1.7106440912129095e-6 262 4 1 0.06 3 3.2712639605332464e-5 2.36
true 3.0283470196512674e-6 392 4 1 0.06 4 3.2712639605332464e-5 4.2
true 1.8681491103511583e-6 232 4 1 0.065 3 6.476267931970257e-5 2.2
true 9.198004723875997e-6 533 4 1 0.065 4 6.476267931970257e-5 5.69
true 6.964805481679548e-6 264 4 1 0.07 3 0.0001183786849266515 2.38
true 1.8856968359015625e-6 390 4 1 0.07 4 0.0001183786849266515 4.69
true 1.8470153849148296e-6 242 4 1 0.075 3 0.00020010854439861874 2.2
true 9.654713342688304e-7 366 4 1 0.075 4 0.00020010854439861874 4.57
true 2.4981270688284596e-5 314 4 1 0.08 3 0.00031555771092967207 2.7
true 1.5512545425200308e-5 391 4 1 0.08 4 0.00031555771092967207 4.19
true 6.466618749367825e-7 522 4 1 0.085 3 0.0004713743124606638 3.85
true 3.405858946764484e-5 463 4 1 0.085 4 0.0004713743124606638 5.0
true 5.566141210960884e-5 313 4 1 0.09 3 0.0006755458943422365 2.6
true 4.6096335242218345e-6 474 4 1 0.09 4 0.0006755458943422365 4.95
true 1.4609633064099903e-5 301 4 1 0.095 3 0.0009357663748697882 2.64
true 2.8133900802918e-6 381 4 1 0.095 4 0.0009357663748697882 4.81
true 6.0468440370997634e-5 341 4 1 0.1 3 0.0012584685665444728 2.79
true 2.9958220142789482e-5 391 4 1 0.1 4 0.0012584685665444728 4.33
true 2.162715161757589e-5 283 4 1 0.105 3 0.0016448436137909768 2.73
true 9.15535329931716e-6 709 4 1 0.105 4 0.0016448436137909768 6.84
true 0.00020848397319983558 244 4 1 0.11 3 0.002051125570344679 2.17
true 1.1154982490269028e-5 473 4 1 0.11 4 0.002051125570344679 4.99
true 3.733344678458206e-6 240 4 1 0.115 3 0.002440730722987342 2.31
true 5.6684867169531916e-5 364 4 1 0.115 4 0.002440730722987342 4.09
