g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.3065577053605892e-7 228 4 1 0.04 3 5.221054521751489e-7 1.03
true 3.78574917192509e-7 348 4 1 0.04 4 5.221054521751489e-7 1.9
true 1.7271525528106402e-6 258 4 1 0.045 3 1.0919706383313371e-6 1.2
true 2.5948790374763497e-6 486 4 1 0.045 4 1.0919706383313371e-6 2.69
true 1.995896754647397e-6 344 4 1 0.05 3 2.252253432013266e-6 1.35
true 2.978824390542645e-6 346 4 1 0.05 4 2.252253432013266e-6 1.92
true 8.907126434198886e-7 247 4 1 0.055 3 4.37567672647471e-6 1.11
true 5.344228080073066e-7 389 4 1 0.055 4 4.37567672647471e-6 2.34
true 5.505837325836538e-6 378 4 1 0.06 3 3.2712639605332464e-5 1.7
true 2.4964722432629927e-5 573 4 1 0.06 4 3.2712639605332464e-5 2.94
true 1.2540477370426295e-6 511 4 1 0.065 3 6.476267931970257e-5 1.88
true 4.782477455944623e-6 316 4 1 0.065 4 6.476267931970257e-5 1.97
true 1.6157824937468312e-6 228 4 1 0.07 3 0.0001183786849266515 1.11
true 3.9901733395186767e-7 382 4 1 0.07 4 0.0001183786849266515 2.19
true 2.5603879196034462e-5 228 4 1 0.075 3 0.00020010854439861874 0.98
true 6.749408691164582e-6 602 4 1 0.075 4 0.00020010854439861874 3.2
true 1.5496825889083077e-5 222 4 1 0.08 3 0.00031555771092967207 1.09
true 2.228799543591009e-6 693 4 1 0.08 4 0.00031555771092967207 3.29
true 6.257212817384339e-6 257 4 1 0.085 3 0.0004713743124606638 1.1
true 6.745995517642989e-6 373 4 1 0.085 4 0.0004713743124606638 2.21
true 6.978742582708364e-7 321 4 1 0.09 3 0.0006755458943422365 1.32
true 3.7201557389121565e-5 498 4 1 0.09 4 0.0006755458943422365 2.54
true 4.912494134218237e-5 243 4 1 0.095 3 0.0009357663748697882 1.06
true 8.16228003126529e-5 426 4 1 0.095 4 0.0009357663748697882 2.44
true 7.676766181963224e-5 243 4 1 0.1 3 0.0012584685665444728 1.1
true 3.9251286488739545e-5 347 4 1 0.1 4 0.0012584685665444728 2.0
true 2.9014534365046085e-5 238 4 1 0.105 3 0.0016448436137909768 1.12
true 1.84075414628726e-5 301 4 1 0.105 4 0.0016448436137909768 1.7
true 2.8160055692283414e-6 218 4 1 0.11 3 0.002051125570344679 0.92
true 4.132219177283014e-5 328 4 1 0.11 4 0.002051125570344679 1.94
true 0.00016861052305694457 282 4 1 0.115 3 0.002440730722987342 1.23
true 7.047818743222134e-6 417 4 1 0.115 4 0.002440730722987342 2.18
true 1.2756812903691461e-5 399 4 1 0.12 3 0.002857451366537061 1.52
true 3.0383158578839442e-5 464 4 1 0.12 4 0.002857451366537061 2.47
true 0.0003880615005099619 236 4 1 0.125 3 0.00332982548065795 1.07
true 1.0153225311615444e-6 452 4 1 0.125 4 0.00332982548065795 2.52
true 0.0004059635561923236 264 4 1 0.13 3 0.0038710037250973186 1.19
true 1.880306943757848e-6 821 4 1 0.13 4 0.0038710037250973186 4.16
true 6.427734477454372e-6 250 4 1 0.135 3 0.004492727768579933 1.23
true 0.0004320245586417748 470 4 1 0.135 4 0.004492727768579933 2.36
true 2.4271195442959748e-5 299 4 1 0.14 3 0.005207607228596099 1.29
