g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.170129257406117e-7 226 4 1 0.04 3 5.221054521751489e-7 1.11
true 4.092511015185707e-6 594 4 1 0.04 4 5.221054521751489e-7 2.95
true 2.522359114354167e-7 250 4 1 0.045 3 1.0919706383313371e-6 1.31
true 3.289329703060062e-7 460 4 1 0.045 4 1.0919706383313371e-6 2.52
true 5.440578135229579e-7 288 4 1 0.05 3 2.252253432013266e-6 1.17
true 5.212118839859059e-7 418 4 1 0.05 4 2.252253432013266e-6 2.35
true 5.064403767462977e-7 247 4 1 0.055 3 4.37567672647471e-6 1.11
true 8.625560591890569e-7 380 4 1 0.055 4 4.37567672647471e-6 2.17
true 2.6101229660957515e-6 218 4 1 0.06 3 3.2712639605332464e-5 1.08
true 6.646424262624073e-7 358 4 1 0.06 4 3.2712639605332464e-5 2.26
true 3.050512548674611e-6 311 4 1 0.065 3 6.476267931970257e-5 1.4
true 3.2894071766986777e-6 372 4 1 0.065 4 6.476267931970257e-5 2.47
true 3.630049964509219e-6 277 4 1 0.07 3 0.0001183786849266515 1.23
true 4.593442633482603e-7 391 4 1 0.07 4 0.0001183786849266515 2.26
true 1.044855847476267e-5 283 4 1 0.075 3 0.00020010854439861874 1.28
true 8.598703270301655e-6 349 4 1 0.075 4 0.00020010854439861874 1.99
true 3.1114691013689466e-6 300 4 1 0.08 3 0.00031555771092967207 1.24
true 5.460557862768667e-6 491 4 1 0.08 4 0.00031555771092967207 2.78
true 4.855990533958465e-6 334 4 1 0.085 3 0.0004713743124606638 1.35
true 1.1838062910884961e-5 413 4 1 0.085 4 0.0004713743124606638 2.45
true 4.409207542249716e-5 278 4 1 0.09 3 0.0006755458943422365 1.3
true 1.1585719362161573e-5 684 4 1 0.09 4 0.0006755458943422365 3.63
true 1.7981361248864403e-6 228 4 1 0.095 3 0.0009357663748697882 1.0
true 1.0517273152377271e-7 365 4 1 0.095 4 0.0009357663748697882 2.27
true 0.00010335859418486582 453 4 1 0.1 3 0.0012584685665444728 1.92
true 6.02376935010529e-6 380 4 1 0.1 4 0.0012584685665444728 2.51
true 3.7897651833429524e-5 452 4 1 0.105 3 0.0016448436137909768 1.84
true 8.94108039408148e-5 452 4 1 0.105 4 0.0016448436137909768 2.5
true 0.00010716033786789536 234 4 1 0.11 3 0.002051125570344679 1.11
true 3.528588233792096e-5 334 4 1 0.11 4 0.002051125570344679 2.19
true 1.2786026834521458e-6 310 4 1 0.115 3 0.002440730722987342 1.23
