g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 1.428760730282086e-7 235 4 1 0.04 3 5.221054521751489e-7 1.07
true 3.3956010332403253e-6 571 4 1 0.04 4 5.221054521751489e-7 2.68
true 7.906216537012511e-7 301 4 1 0.045 3 1.0919706383313371e-6 1.13
true 1.030093225162787e-7 373 4 1 0.045 4 1.0919706383313371e-6 2.11
true 4.284921422126331e-7 198 4 1 0.05 3 2.252253432013266e-6 0.95
true 2.0182857490835815e-7 366 4 1 0.05 4 2.252253432013266e-6 1.95
true 6.995736022696875e-7 252 4 1 0.055 3 4.37567672647471e-6 1.08
true 3.59724901310976e-7 452 4 1 0.055 4 4.37567672647471e-6 2.37
true 6.403239677377215e-6 286 4 1 0.06 3 3.2712639605332464e-5 1.23
true 1.009336823232232e-6 341 4 1 0.06 4 3.2712639605332464e-5 2.02
true 7.950784662869026e-7 249 4 1 0.065 3 6.476267931970257e-5 1.07
true 2.456931102734483e-6 336 4 1 0.065 4 6.476267931970257e-5 1.96
true 4.210295074413839e-6 242 4 1 0.07 3 0.0001183786849266515 1.03
true 2.420708242634184e-6 374 4 1 0.07 4 0.0001183786849266515 2.08
true 1.3800309590084048e-6 255 4 1 0.075 3 0.00020010854439861874 1.16
true 6.151998490522281e-6 385 4 1 0.075 4 0.00020010854439861874 2.19
true 1.5706398105608255e-5 243 4 1 0.08 3 0.00031555771092967207 1.03
true 7.24848663413713e-6 704 4 1 0.08 4 0.00031555771092967207 3.55
true 1.915465321478127e-5 223 4 1 0.085 3 0.0004713743124606638 1.08
true 9.091642172776027e-6 376 4 1 0.085 4 0.0004713743124606638 2.12
true 1.1072888634333644e-6 250 4 1 0.09 3 0.0006755458943422365 1.06
true 2.5321104926423477e-5 465 4 1 0.09 4 0.0006755458943422365 2.32
true 3.727610907378054e-5 263 4 1 0.095 3 0.0009357663748697882 1.12
true 7.795469753951734e-5 444 4 1 0.095 4 0.0009357663748697882 2.51
true 2.3396284130672296e-5 271 4 1 0.1 3 0.0012584685665444728 1.21
true 9.277192728524009e-5 430 4 1 0.1 4 0.0012584685665444728 2.21
