nsites nqubits0 h nlayers
15 2 0.5 3

g_converged iter nqubits0 time
true 3265 2 128.91
true 9110 3 321.66
true 2867 4 127.4
true 3454 5 149.89
true 3565 6 151.32
true 16916 7 620.24
true 13556 8 528.01
true 23393 9 852.85
true 6160 10 241.91
true 13553 11 465.18
true 26496 12 913.65
true 13537 13 475.98
true 30945 14 1135.75
true 28202 15 1011.42
