changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged min_loss iter nsites nqubits0 h nlayers time
true 0.23365948810209364 312 9 1 0.54 1 2.76
true 0.06662906869834279 882 9 1 0.54 2 14.62
true 0.023617036560746874 3036 9 1 0.54 3 68.0
true 0.011347486900970039 8774 9 1 0.54 4 257.93
true 0.2721491627221331 214 9 1 0.56 1 2.29
true 0.05301861530281371 526 9 1 0.56 2 10.49
true 0.04809285913544398 3582 9 1 0.56 3 88.42
true 0.04513096242972997 4531 9 1 0.56 4 133.6
true 0.2843756157801132 156 9 1 0.58 1 1.74
true 0.08563870197674534 1212 9 1 0.58 2 19.37
true 0.0006428407153738491 5565 9 1 0.58 3 114.79
true 0.012175726025464018 10507 9 1 0.58 4 289.12
true 0.27012741500044746 292 9 1 0.6 1 2.67
true 0.08962549348975585 1630 9 1 0.6 2 25.51
true 0.022725404985491415 3140 9 1 0.6 3 69.85
true 0.03283298507831911 17981 9 1 0.6 4 504.28
true 8.488785516180819e-8 214 9 2 0.0 1 1.7
true 6.583020757483515e-6 855 9 2 0.0 2 12.14
true 1.1462657512062435e-7 1582 9 2 0.0 3 30.87
true 1.2840935485508576e-5 2133 9 2 0.0 4 55.42
true 5.685210618944225e-7 215 9 2 0.02 1 1.78
true 2.1720263165825315e-7 581 9 2 0.02 2 8.06
true 8.416524286736227e-6 1118 9 2 0.02 3 24.59
true 2.424852735133376e-6 1830 9 2 0.02 4 49.79
true 2.231795631635336e-8 215 9 2 0.04 1 1.73
true 1.0956499155168054e-7 662 9 2 0.04 2 9.81
true 5.775709857047673e-7 1186 9 2 0.04 3 26.52
true 7.325073895503298e-7 1742 9 2 0.04 4 55.8
true 2.698573169368501e-7 179 9 2 0.06 1 1.52
true 1.7113472834950905e-6 834 9 2 0.06 2 12.22
true 2.4429951704929564e-6 1081 9 2 0.06 3 23.16
true 6.174294254118751e-6 1262 9 2 0.06 4 40.79
true 3.016745157014e-7 404 9 2 0.08 1 3.07
true 7.498622693613566e-7 417 9 2 0.08 2 6.72
true 2.0203904721183275e-6 1043 9 2 0.08 3 22.4
true 4.3546090479074095e-6 1890 9 2 0.08 4 53.72
true 6.941289998896316e-7 182 9 2 0.1 1 1.55
true 9.851379724756804e-7 724 9 2 0.1 2 9.87
true 1.8454584483351688e-5 1284 9 2 0.1 3 26.86
true 1.2043246232495974e-6 2131 9 2 0.1 4 59.92
true 1.1898322069547884e-6 258 9 2 0.12 1 2.03
true 6.216993261504156e-6 1113 9 2 0.12 2 15.73
true 3.7790367094614474e-5 1497 9 2 0.12 3 29.11
true 1.9603761125724928e-5 1944 9 2 0.12 4 51.44
true 2.006152404976369e-6 234 9 2 0.14 1 1.85
true 3.5317849329530304e-6 438 9 2 0.14 2 7.19
true 4.1866354430486474e-6 782 9 2 0.14 3 18.08
true 2.2256562793476764e-5 1972 9 2 0.14 4 60.21
true 3.4066036353752605e-6 305 9 2 0.16 1 2.35
true 6.207345052439139e-6 515 9 2 0.16 2 7.86
true 1.1428219099690606e-5 2588 9 2 0.16 3 51.25
true 5.282324246097536e-6 1224 9 2 0.16 4 39.94
true 1.436710652760742e-5 299 9 2 0.18 1 2.61
true 2.833818627867579e-6 549 9 2 0.18 2 8.4
true 1.152277113836142e-5 1341 9 2 0.18 3 28.03
true 3.005339566963805e-5 1619 9 2 0.18 4 48.43
true 8.926557135968682e-6 284 9 2 0.2 1 2.45
true 1.4238138654393273e-5 527 9 2 0.2 2 8.79
true 9.622416723475968e-6 1246 9 2 0.2 3 28.43
true 2.3579638297466232e-5 2350 9 2 0.2 4 65.24
true 1.3870632291579366e-5 172 9 2 0.22 1 1.59
true 1.12862647843881e-5 1147 9 2 0.22 2 16.35
true 3.8860664855644433e-5 1254 9 2 0.22 3 27.45
true 3.461077337588159e-5 1701 9 2 0.22 4 52.67
true 2.0736893120210098e-5 199 9 2 0.24 1 1.83
true 3.1892146377110464e-5 772 9 2 0.24 2 12.1
true 4.034294678656458e-5 2353 9 2 0.24 3 44.69
true 2.813770413501171e-6 1240 9 2 0.24 4 39.0
true 2.9940324596328116e-5 152 9 2 0.26 1 1.55
true 8.362635860875711e-6 547 9 2 0.26 2 8.64
true 5.29191544683949e-5 1335 9 2 0.26 3 28.26
true 0.00022704952066965323 3430 9 2 0.26 4 90.14
true 4.2683816814187425e-5 272 9 2 0.28 1 2.54
true 5.701549165124109e-5 390 9 2 0.28 2 7.02
