changes = Time vs h

g_converged min_loss iter nsites nqubits0 h nlayers time
true 3.272156632427858e-7 260 8 5 0.0 1 6.24
true 1.0234299126610225e-6 448 8 5 0.0 2 3.35
true 3.9211416046003314e-5 2387 8 5 0.0 3 21.91
true 5.557078273565885e-6 1948 8 5 0.0 4 26.61
true 1.4331501732023356e-7 276 8 5 0.02 1 1.05
true 2.089828838947039e-6 815 8 5 0.02 2 5.27
true 5.705575203740487e-7 1559 8 5 0.02 3 14.14
true 1.2499506924168458e-6 1402 8 5 0.02 4 21.16
true 0.20000014125221166 186 8 5 0.04 1 0.76
true 5.066476663095898e-6 1015 8 5 0.04 2 6.5
true 6.043141360234649e-6 1605 8 5 0.04 3 14.83
true 9.86970337886195e-6 2110 8 5 0.04 4 26.45
true 6.65857366677347e-7 235 8 5 0.06 1 0.9
true 0.09999813672615308 1018 8 5 0.06 2 7.7
true 1.5296105727835575e-5 1359 8 5 0.06 3 23.08
true 1.1470433361959741e-5 4887 8 5 0.06 4 95.12
true 0.39999992401085394 196 8 5 0.08 1 1.34
true 0.20000052044457065 897 8 5 0.08 2 10.32
true 1.2385436906625635e-6 1633 8 5 0.08 3 27.06
true 5.4958038744890025e-6 3141 8 5 0.08 4 67.94
true 0.20000795767413077 163 8 5 0.1 1 1.25
true 2.3701510080242903e-6 1352 8 5 0.1 2 15.14
true 1.1616039557849067e-5 1066 8 5 0.1 3 19.24
true 4.002680307003681e-5 6257 8 5 0.1 4 126.33
true 0.19999598734079083 170 8 5 0.12 1 1.27
true 4.327871088150026e-6 629 8 5 0.12 2 8.23
true 4.383600513147012e-6 964 8 5 0.12 3 17.84
true 7.716661104628652e-6 1461 8 5 0.12 4 34.74
true 0.40000051958974314 168 8 5 0.14 1 1.36
true 5.872670246986899e-7 1171 8 5 0.14 2 13.02
true 1.4867304652921299e-5 1441 8 5 0.14 3 24.37
true 5.732466648622481e-5 2322 8 5 0.14 4 52.19
true 0.2000022069599515 150 8 5 0.16 1 1.26
true 0.20000108769686165 1141 8 5 0.16 2 14.45
true 1.2093075985408764e-5 1298 8 5 0.16 3 22.67
true 7.711052695000831e-5 4976 8 5 0.16 4 97.69
true 0.20000415759720527 191 8 5 0.18 1 1.51
true 4.1604900587577376e-5 1566 8 5 0.18 2 17.83
true 3.189730109561806e-5 1601 8 5 0.18 3 26.26
true 8.146817929510775e-5 2875 8 5 0.18 4 61.6
true 0.2000062717431562 235 8 5 0.2 1 1.73
true 3.31563507596222e-5 1475 8 5 0.2 2 16.84
true 5.5312202743507124e-5 1360 8 5 0.2 3 24.24
true 1.3985480284606222e-5 1484 8 5 0.2 4 35.7
true 1.4611670735953374e-5 267 8 5 0.22 1 2.0
true 4.62895899080773e-5 853 8 5 0.22 2 10.19
true 4.581211424451448e-5 1692 8 5 0.22 3 30.1
true 9.463751703174817e-5 3773 8 5 0.22 4 84.17
true 2.2458343181264162e-5 265 8 5 0.24 1 2.09
true 7.120569360055117e-5 404 8 5 0.24 2 5.91
true 9.351448433470022e-5 1199 8 5 0.24 3 22.12
true 0.10015876185251607 3579 8 5 0.24 4 78.36
true 0.20001446684136526 150 8 5 0.26 1 1.31
true 0.00010274571032041769 489 8 5 0.26 2 6.9
true 9.245776141376671e-5 1104 8 5 0.26 3 21.34
true 0.0001617728250979167 2627 8 5 0.26 4 62.02
true 4.7325891429483843e-5 190 8 5 0.28 1 1.56
true 1.344014607922439e-5 1172 8 5 0.28 2 14.62
true 8.416216550202193e-5 1826 8 5 0.28 3 33.48
true 0.00026491262321832744 2142 8 5 0.28 4 50.49
true 6.938162971983352e-5 161 8 5 0.3 1 1.43
true 0.00017131189912635846 481 8 5 0.3 2 6.8
true 0.0001897700358836296 1713 8 5 0.3 3 31.08
true 0.00028153588816342 4024 8 5 0.3 4 87.91
true 0.00010996208796489881 229 8 5 0.32 1 1.83
true 0.000245538249302657 1240 8 5 0.32 2 14.87
true 0.00022641238750483738 1742 8 5 0.32 3 32.4
true 0.000710796977028616 10011 8 5 0.32 4 229.89
true 0.0002521537456947498 281 8 5 0.34 1 2.26
true 0.00041442044108646047 1218 8 5 0.34 2 14.94
true 0.0006510130861849817 3287 8 5 0.34 3 58.05
true 0.0005952269495109186 7856 8 5 0.34 4 166.99
true 0.0010310467957370673 572 8 5 0.36 1 4.36
true 0.0006803699075346948 618 8 5 0.36 2 8.48
true 0.0011185354670922188 2071 8 5 0.36 3 36.36
true 0.0016682015532138105 1982 8 5 0.36 4 48.91
true 0.005746491266824483 224 8 5 0.38 1 1.87
true 0.0009081570803497807 1354 8 5 0.38 2 16.39
true 0.005722265943424542 2260 8 5 0.38 3 40.88
true 0.0011382590226548528 8322 8 5 0.38 4 187.37
true 0.2173583770139497 203 8 5 0.4 1 1.62
true 0.002417738226827659 1200 8 5 0.4 2 14.68
true 0.021110806591134134 6352 8 5 0.4 3 109.22
true 0.02262743810190614 10910 8 5 0.4 4 236.85
true 0.21080026396854606 320 8 5 0.42 1 2.6
true 0.017627258192096852 1079 8 5 0.42 2 14.09
true 0.003994213201528807 4276 8 5 0.42 3 73.01
true 0.009141227890738412 11693 8 5 0.42 4 253.18
true 0.05278278227035634 193 8 5 0.44 1 1.1
true 0.005654010807835896 1581 8 5 0.44 2 13.28
true 0.0005168151332519133 18003 8 5 0.44 3 193.04
true 0.005221956409919926 5639 8 5 0.44 4 82.8
true 0.333288016845788 225 8 5 0.46 1 1.19
true 0.012458481115603626 497 8 5 0.46 2 4.66
true 0.0003197519901150914 3073 8 5 0.46 3 41.91
true 0.01080835796692715 6843 8 5 0.46 4 161.94
true 0.17830180879966515 172 8 5 0.48 1 1.58
true 0.11965571941665773 1802 8 5 0.48 2 23.15
true 0.04033064193563394 2600 8 5 0.48 3 47.27
true 0.010811784375004508 9773 8 5 0.48 4 230.06
true 0.36213196717691754 390 8 5 0.5 1 3.57
true 0.014932981423464331 2357 8 5 0.5 2 32.06
true 0.12968442812980469 3371 8 5 0.5 3 62.4
true 0.00016943311905334157 16697 8 5 0.5 4 392.94
true 0.430001986270449 171 8 5 0.52 1 1.64
true 0.01594232098131918 891 8 5 0.52 2 12.19
true 0.0004151002612835408 1507 8 5 0.52 3 33.81
true 0.012768205121571407 4193 8 5 0.52 4 99.48
true 0.23271561015547793 232 8 5 0.54 1 2.0
true 0.16016221053026075 1326 8 5 0.54 2 18.72
true 0.1365427184671896 4113 8 5 0.54 3 76.37
true 0.013508598421288598 10842 8 5 0.54 4 252.22
true 0.3555460173109084 378 8 5 0.56 1 2.95
true 0.017830432867470113 698 8 5 0.56 2 9.01
true 0.1389967153750095 3246 8 5 0.56 3 59.19
true 0.014428984482097184 4027 8 5 0.56 4 95.38
true 0.23407936788611927 316 8 5 0.58 1 2.43
true 0.018677962567216967 1127 8 5 0.58 2 14.82
true 0.130559050756536 6037 8 5 0.58 3 105.89
true 0.040814011983925834 7528 8 5 0.58 4 173.43
true 0.2359303184062722 206 8 5 0.6 1 1.68
true 0.2923680712242693 776 8 5 0.6 2 10.9
true 0.05275076957015952 1279 8 5 0.6 3 25.67
true 0.01564363612328353 2315 8 5 0.6 4 56.39
true 0.16666738367897585 203 8 6 0.0 1 1.35
true 2.2772629553746704e-6 2666 8 6 0.0 2 29.73
true 0.00010406779031824076 1857 8 6 0.0 3 30.89
true 2.3220644229465792e-5 3040 8 6 0.0 4 65.69
true 0.1666671706365496 309 8 6 0.02 1 2.27
true 1.3737707924010856e-7 935 8 6 0.02 2 11.46
true 1.8315721205900786e-6 2400 8 6 0.02 3 37.47
true 1.0320596199533036e-5 3324 8 6 0.02 4 68.2
true 7.429176210419867e-7 575 8 6 0.04 1 3.91
true 2.751757112738155e-6 2428 8 6 0.04 2 26.32
true 3.5141834687178276e-5 1801 8 6 0.04 3 29.27
true 6.090071052992456e-6 2752 8 6 0.04 4 58.18
true 0.16666775412528356 339 8 6 0.06 1 2.27
true 2.610075623873017e-6 2731 8 6 0.06 2 28.82
true 1.7867426978031748e-5 1794 8 6 0.06 3 28.12
true 4.438851988253223e-6 3718 8 6 0.06 4 73.52
true 1.0365825908094835e-6 409 8 6 0.08 1 2.55
true 0.16669121760793995 1387 8 6 0.08 2 14.63
true 6.762137895096239e-6 2888 8 6 0.08 3 46.38
true 3.5821143244574305e-5 3330 8 6 0.08 4 68.41
true 0.16666718218121726 212 8 6 0.1 1 1.47
true 3.3007901435363105e-6 1458 8 6 0.1 2 16.2
true 2.4891504049162627e-5 905 8 6 0.1 3 16.43
true 4.0615665177194206e-5 3020 8 6 0.1 4 62.88
true 3.4257433397707113e-6 220 8 6 0.12 1 1.61
true 0.16666526160017783 1016 8 6 0.12 2 11.54
true 3.061670151505158e-5 2978 8 6 0.12 3 45.4
true 1.0567648966712065e-5 1898 8 6 0.12 4 42.93
true 6.007689426879015e-6 205 8 6 0.14 1 1.58
true 1.0482221638759745e-5 1842 8 6 0.14 2 20.3
true 4.515916577764919e-5 1731 8 6 0.14 3 28.15
true 3.083328268983313e-5 3534 8 6 0.14 4 73.62
true 0.16667633931607928 249 8 6 0.16 1 1.77
true 1.8788033993114944e-5 2464 8 6 0.16 2 26.01
true 1.0853826315169549e-5 2234 8 6 0.16 3 35.59
true 3.4660326940013274e-5 1351 8 6 0.16 4 32.56
true 0.16668099081163726 244 8 6 0.18 1 1.81
true 7.857346747131011e-6 2009 8 6 0.18 2 22.54
true 2.1940181470873437e-5 1497 8 6 0.18 3 25.3
true 3.679683877426861e-5 3462 8 6 0.18 4 74.15
true 2.492448503796374e-5 259 8 6 0.2 1 1.92
true 4.573646341531531e-5 485 8 6 0.2 2 6.61
true 2.787896552459516e-5 870 8 6 0.2 3 16.34
true 4.1742253580963805e-5 1416 8 6 0.2 4 34.55
true 3.6928535828956166e-5 386 8 6 0.22 1 2.76
true 6.004458604149295e-6 825 8 6 0.22 2 10.22
true 6.536170383564244e-5 2944 8 6 0.22 3 46.61
true 9.129652211885737e-5 1406 8 6 0.22 4 38.78
true 5.334770947055626e-5 359 8 6 0.24 1 2.63
true 9.769040907379549e-5 473 8 6 0.24 2 6.72
true 5.007656668338615e-5 1177 8 6 0.24 3 21.72
true 8.53247283895131e-5 6311 8 6 0.24 4 129.65
true 7.571442567468518e-5 256 8 6 0.26 1 1.9
true 0.0001378061865746627 878 8 6 0.26 2 11.25
true 0.00014363505082573558 4451 8 6 0.26 3 75.69
true 0.00015705538108376493 6406 8 6 0.26 4 135.66
true 0.00010452641223283414 317 8 6 0.28 1 2.56
true 6.448852394117892e-5 1069 8 6 0.28 2 13.61
true 0.0001479142120545951 1263 8 6 0.28 3 24.28
true 0.0002752667700897197 3975 8 6 0.28 4 87.68
true 0.16678799810084552 197 8 6 0.3 1 1.73
true 0.0002306716785177206 750 8 6 0.3 2 9.77
true 0.00023877976477383137 2673 8 6 0.3 3 46.26
true 0.00023735583007191327 2620 8 6 0.3 4 61.57
true 0.16683552981348196 255 8 6 0.32 1 2.06
true 0.00032159219899363656 839 8 6 0.32 2 11.16
true 4.586584560794157e-5 5196 8 6 0.32 3 87.16
true 0.00036627181092550404 2853 8 6 0.32 4 65.51
true 0.16695924677826482 198 8 6 0.34 1 1.69
true 0.0005879696747660054 2084 8 6 0.34 2 25.08
true 0.0005996847307429646 3129 8 6 0.34 3 54.71
true 0.00019560643403197334 2032 8 6 0.34 4 54.05
true 0.001282544963311492 259 8 6 0.36 1 1.93
true 0.0008337199352136301 2387 8 6 0.36 2 31.48
true 0.0012503564032665948 2745 8 6 0.36 3 48.25
true 0.0015730797501322669 4804 8 6 0.36 4 113.34
true 0.33306950095368165 147 8 6 0.38 1 1.34
true 0.00101044499559703 1572 8 6 0.38 2 18.76
true 0.004659125853136177 5307 8 6 0.38 3 94.98
true 0.005746587950865671 7574 8 6 0.38 4 171.05
true 0.02431630187856244 373 8 6 0.4 1 3.14
true 0.014529829048743345 1928 8 6 0.4 2 24.66
true 0.017662880886242644 9377 8 6 0.4 3 160.53
true 0.018909144491650393 5772 8 6 0.4 4 127.13
true 0.015400291348255102 368 8 6 0.42 1 2.96
true 0.01601038783419505 2343 8 6 0.42 2 28.35
true 0.0037083740438098403 5969 8 6 0.42 3 101.57
true 0.002437183725316335 5757 8 6 0.42 4 130.02
true 0.05732463317452744 292 8 6 0.44 1 2.43
true 0.005317265388934067 2858 8 6 0.44 2 36.78
