g_converged	min_loss	iter	nsites	nqubits0	h	nlayers	time
TRUE	7,72E-09	1461	8	5	0,12	4	34,74
TRUE	5,73E-10	2322	8	5	0,14	4	52,19
TRUE	7,71E-10	4976	8	5	0,16	4	97,69
TRUE	8,15E-10	2875	8	5	0,18	4	61,6
TRUE	1,40E-11	1484	8	5	0,2	4	35,7
TRUE	9,46E-10	3773	8	5	0,22	4	84,17
TRUE	0,100158762	3579	8	5	0,24	4	78,36
TRUE	0,000161773	2627	8	5	0,26	4	62,02
TRUE	0,000264913	2142	8	5	0,28	4	50,49
TRUE	0,000281536	4024	8	5	0,3	4	87,91
TRUE	0,000710797	10011	8	5	0,32	4	229,89
TRUE	0,000595227	7856	8	5	0,34	4	166,99
TRUE	0,001668202	1982	8	5	0,36	4	48,91
TRUE	0,001138259	8322	8	5	0,38	4	187,37
TRUE	0,022627438	10910	8	5	0,4	4	236,85
TRUE	0,009141228	11693	8	5	0,42	4	253,18
TRUE	0,005221956	5639	8	5	0,44	4	82,8
TRUE	0,010808358	6843	8	5	0,46	4	161,94
TRUE	0,010811784	9773	8	5	0,48	4	230,06
TRUE	0,000169433	16697	8	5	0,5	4	392,94
TRUE	0,012768205	4193	8	5	0,52	4	99,48
TRUE	0,013508598	10842	8	5	0,54	4	252,22
TRUE	0,014428984	4027	8	5	0,56	4	95,38
TRUE	0,040814012	7528	8	5	0,58	4	173,43
TRUE	0,015643636	2315	8	5	0,6	4	56,39
TRUE	0,166667384	203	8	6	0	1	1,35
TRUE	0,166667171	309	8	6	0,02	1	2,27
TRUE	7,43E-08	575	8	6	0,04	1	3,91
TRUE	0,166667754	339	8	6	0,06	1	2,27
TRUE	1,04E-10	409	8	6	0,08	1	2,55
TRUE	0,166667182	212	8	6	0,1	1	1,47
TRUE	3,43E-10	220	8	6	0,12	1	1,61
TRUE	6,01E-09	205	8	6	0,14	1	1,58
TRUE	0,166676339	249	8	6	0,16	1	1,77
TRUE	0,166680991	244	8	6	0,18	1	1,81
TRUE	2,49E-10	259	8	6	0,2	1	1,92
TRUE	3,69E-11	386	8	6	0,22	1	2,76
TRUE	5,33E-10	359	8	6	0,24	1	2,63
TRUE	7,57E-10	256	8	6	0,26	1	1,9
TRUE	0,000104526	317	8	6	0,28	1	2,56
TRUE	0,166787998	197	8	6	0,3	1	1,73
TRUE	0,16683553	255	8	6	0,32	1	2,06
TRUE	0,166959247	198	8	6	0,34	1	1,69
TRUE	0,001282545	259	8	6	0,36	1	1,93
TRUE	0,333069501	147	8	6	0,38	1	1,34
TRUE	0,024316302	373	8	6	0,4	1	3,14
TRUE	0,015400291	368	8	6	0,42	1	2,96
TRUE	0,057324633	292	8	6	0,44	1	2,43
TRUE	0,195597578	184	8	6	0,46	1	1,72
TRUE	0,190623497	284	8	6	0,48	1	2,23
TRUE	0,347455518	288	8	6	0,5	1	2,42
TRUE	0,415216482	295	8	6	0,52	1	2,59
TRUE	0,283935951	285	8	6	0,54	1	2,39
TRUE	0,243771337	405	8	6	0,56	1	3,18
TRUE	0,350052894	364	8	6	0,58	1	2,98
TRUE	0,418289964	152	8	6	0,6	1	1,36
TRUE	2,28E-10	2666	8	6	0	2	29,73
TRUE	1,37E-09	935	8	6	0,02	2	11,46
TRUE	2,75E-09	2428	8	6	0,04	2	26,32
TRUE	2,61E-09	2731	8	6	0,06	2	28,82
TRUE	0,166691218	1387	8	6	0,08	2	14,63
TRUE	3,30E-10	1458	8	6	0,1	2	16,2
TRUE	0,166665262	1016	8	6	0,12	2	11,54
TRUE	1,05E-11	1842	8	6	0,14	2	20,3
TRUE	1,88E-11	2464	8	6	0,16	2	26,01
TRUE	7,86E-09	2009	8	6	0,18	2	22,54
TRUE	4,57E-10	485	8	6	0,2	2	6,61
TRUE	6,00E-09	825	8	6	0,22	2	10,22
TRUE	9,77E-10	473	8	6	0,24	2	6,72
TRUE	0,000137806	878	8	6	0,26	2	11,25
TRUE	6,45E-10	1069	8	6	0,28	2	13,61
TRUE	0,000230672	750	8	6	0,3	2	9,77
TRUE	0,000321592	839	8	6	0,32	2	11,16
TRUE	0,00058797	2084	8	6	0,34	2	25,08
TRUE	0,00083372	2387	8	6	0,36	2	31,48
TRUE	0,001010445	1572	8	6	0,38	2	18,76
TRUE	0,014529829	1928	8	6	0,4	2	24,66
TRUE	0,016010388	2343	8	6	0,42	2	28,35
TRUE	0,005317265	2858	8	6	0,44	2	36,78
TRUE	0,010482047	1460	8	6	0,46	2	18,59
TRUE	0,011312113	547	8	6	0,48	2	7,63
TRUE	0,141157353	1509	8	6	0,5	2	20,43
TRUE	0,013364814	997	8	6	0,52	2	12,51
TRUE	0,154707978	1848	8	6	0,54	2	22,86
TRUE	0,160751055	1715	8	6	0,56	2	20,55
TRUE	0,167555552	3896	8	6	0,58	2	48,01
TRUE	0,016446183	1620	8	6	0,6	2	20,17
TRUE	0,000104068	1857	8	6	0	3	30,89
TRUE	1,83E-10	2400	8	6	0,02	3	37,47
TRUE	3,51E-11	1801	8	6	0,04	3	29,27
TRUE	1,79E-11	1794	8	6	0,06	3	28,12
TRUE	6,76E-09	2888	8	6	0,08	3	46,38
TRUE	2,49E-11	905	8	6	0,1	3	16,43
TRUE	3,06E-10	2978	8	6	0,12	3	45,4
TRUE	4,52E-10	1731	8	6	0,14	3	28,15
TRUE	1,09E-11	2234	8	6	0,16	3	35,59
TRUE	2,19E-11	1497	8	6	0,18	3	25,3
TRUE	2,79E-10	870	8	6	0,2	3	16,34
TRUE	6,54E-10	2944	8	6	0,22	3	46,61
TRUE	5,01E-10	1177	8	6	0,24	3	21,72
TRUE	0,000143635	4451	8	6	0,26	3	75,69
TRUE	0,000147914	1263	8	6	0,28	3	24,28
TRUE	0,00023878	2673	8	6	0,3	3	46,26
TRUE	4,59E-10	5196	8	6	0,32	3	87,16
TRUE	0,000599685	3129	8	6	0,34	3	54,71
TRUE	0,001250356	2745	8	6	0,36	3	48,25
TRUE	0,004659126	5307	8	6	0,38	3	94,98
TRUE	0,017662881	9377	8	6	0,4	3	160,53
TRUE	0,003708374	5969	8	6	0,42	3	101,57
TRUE	0,013041174	7504	8	6	0,44	3	127,77
TRUE	0,094360191	8268	8	6	0,46	3	143,06
TRUE	0,094612738	8967	8	6	0,48	3	152,4
TRUE	0,04394401	4102	8	6	0,5	3	75,13
TRUE	0,092717022	2452	8	6	0,52	3	47,28
TRUE	0,064346012	4314	8	6	0,54	3	74,93
TRUE	0,04506876	9183	8	6	0,56	3	156,9
TRUE	0,049169655	5535	8	6	0,58	3	93,92
TRUE	0,037955377	3862	8	6	0,6	3	65,77
TRUE	2,32E-11	3040	8	6	0	4	65,69
