changes = Time vs nsites vs nqubits0 vs h vs nlayers

g_converged iter nsites nqubits0 h nlayers time
true 87 5 1 0.0 1 5.88
true 240 5 1 0.0 2 1.35
true 490 5 1 0.0 3 3.36
true 959 5 1 0.0 4 9.09
true 136 5 1 0.02040816326530612 1 0.39
true 201 5 1 0.02040816326530612 2 1.13
true 635 5 1 0.02040816326530612 3 4.65
true 879 5 1 0.02040816326530612 4 7.96
true 90 5 1 0.04081632653061224 1 0.27
true 427 5 1 0.04081632653061224 2 2.28
true 343 5 1 0.04081632653061224 3 2.97
true 508 5 1 0.04081632653061224 4 5.95
true 153 5 1 0.061224489795918366 1 0.48
true 318 5 1 0.061224489795918366 2 1.71
true 353 5 1 0.061224489795918366 3 2.78
true 566 5 1 0.061224489795918366 4 5.67
true 81 5 1 0.08163265306122448 1 0.27
true 212 5 1 0.08163265306122448 2 1.3
true 381 5 1 0.08163265306122448 3 5.86
true 576 5 1 0.08163265306122448 4 11.18
true 76 5 1 0.10204081632653061 1 0.45
true 324 5 1 0.10204081632653061 2 3.19
true 658 5 1 0.10204081632653061 3 8.73
true 615 5 1 0.10204081632653061 4 12.89
true 83 5 1 0.12244897959183673 1 0.48
true 201 5 1 0.12244897959183673 2 2.33
true 812 5 1 0.12244897959183673 3 9.99
true 1046 5 1 0.12244897959183673 4 19.52
true 78 5 1 0.14285714285714285 1 0.47
true 205 5 1 0.14285714285714285 2 2.19
true 387 5 1 0.14285714285714285 3 5.61
true 816 5 1 0.14285714285714285 4 14.35
true 169 5 1 0.16326530612244897 1 0.83
true 241 5 1 0.16326530612244897 2 2.42
true 422 5 1 0.16326530612244897 3 6.2
true 846 5 1 0.16326530612244897 4 12.57
true 77 5 1 0.1836734693877551 1 0.38
true 192 5 1 0.1836734693877551 2 2.19
true 836 5 1 0.1836734693877551 3 9.77
true 515 5 1 0.1836734693877551 4 9.31
true 85 5 1 0.20408163265306123 1 0.44
true 616 5 1 0.20408163265306123 2 4.68
true 1310 5 1 0.20408163265306123 3 14.24
true 1688 5 1 0.20408163265306123 4 24.47
true 83 5 1 0.22448979591836735 1 0.44
true 402 5 1 0.22448979591836735 2 3.13
true 1495 5 1 0.22448979591836735 3 15.78
true 3041 5 1 0.22448979591836735 4 39.6
true 74 5 1 0.24489795918367346 1 0.39
true 622 5 1 0.24489795918367346 2 4.95
true 1315 5 1 0.24489795918367346 3 14.28
true 1350 5 1 0.24489795918367346 4 18.66
true 78 5 1 0.2653061224489796 1 0.4
true 715 5 1 0.2653061224489796 2 5.56
true 1319 5 1 0.2653061224489796 3 13.92
true 1036 5 1 0.2653061224489796 4 15.81
true 80 5 1 0.2857142857142857 1 0.41
true 265 5 1 0.2857142857142857 2 2.36
true 1465 5 1 0.2857142857142857 3 14.72
true 883 5 1 0.2857142857142857 4 13.46
true 87 5 1 0.30612244897959184 1 0.44
true 403 5 1 0.30612244897959184 2 3.3
true 1595 5 1 0.30612244897959184 3 16.81
true 1781 5 1 0.30612244897959184 4 24.27
true 75 5 1 0.32653061224489793 1 0.37
true 349 5 1 0.32653061224489793 2 2.7
true 1110 5 1 0.32653061224489793 3 12.06
true 1809 5 1 0.32653061224489793 4 24.57
true 79 5 1 0.3469387755102041 1 0.4
true 339 5 1 0.3469387755102041 2 2.71
true 2610 5 1 0.3469387755102041 3 25.85
true 2219 5 1 0.3469387755102041 4 29.55
true 91 5 1 0.3673469387755102 1 0.45
true 514 5 1 0.3673469387755102 2 4.13
true 1405 5 1 0.3673469387755102 3 14.34
true 2209 5 1 0.3673469387755102 4 28.26
true 77 5 1 0.3877551020408163 1 0.41
true 327 5 1 0.3877551020408163 2 2.81
true 655 5 1 0.3877551020408163 3 9.01
true 1782 5 1 0.3877551020408163 4 27.46
true 100 5 1 0.40816326530612246 1 0.58
true 355 5 1 0.40816326530612246 2 3.12
true 2076 5 1 0.40816326530612246 3 24.11
true 3638 5 1 0.40816326530612246 4 49.75
true 117 5 1 0.42857142857142855 1 0.56
true 466 5 1 0.42857142857142855 2 3.73
true 2519 5 1 0.42857142857142855 3 26.43
true 1726 5 1 0.42857142857142855 4 23.66
true 69 5 1 0.4489795918367347 1 0.37
true 268 5 1 0.4489795918367347 2 2.34
true 791 5 1 0.4489795918367347 3 8.8
true 2170 5 1 0.4489795918367347 4 28.44
true 71 5 1 0.46938775510204084 1 0.36
true 585 5 1 0.46938775510204084 2 4.68
true 2242 5 1 0.46938775510204084 3 22.99
true 1274 5 1 0.46938775510204084 4 18.16
true 69 5 1 0.4897959183673469 1 0.37
true 184 5 1 0.4897959183673469 2 1.74
true 501 5 1 0.4897959183673469 3 6.4
true 6541 5 1 0.4897959183673469 4 82.89
true 69 5 1 0.5102040816326531 1 0.34
true 381 5 1 0.5102040816326531 2 2.91
true 632 5 1 0.5102040816326531 3 6.97
true 1872 5 1 0.5102040816326531 4 25.41
true 79 5 1 0.5306122448979592 1 0.41
true 869 5 1 0.5306122448979592 2 6.81
true 518 5 1 0.5306122448979592 3 5.97
true 2054 5 1 0.5306122448979592 4 27.39
true 89 5 1 0.5510204081632653 1 0.46
true 219 5 1 0.5510204081632653 2 1.99
true 1335 5 1 0.5510204081632653 3 13.56
true 2706 5 1 0.5510204081632653 4 34.2
true 87 5 1 0.5714285714285714 1 0.44
true 389 5 1 0.5714285714285714 2 3.05
true 1178 5 1 0.5714285714285714 3 12.05
true 2028 5 1 0.5714285714285714 4 25.51
true 78 5 1 0.5918367346938775 1 0.42
true 459 5 1 0.5918367346938775 2 3.62
true 1097 5 1 0.5918367346938775 3 11.75
true 2217 5 1 0.5918367346938775 4 30.24
true 86 5 1 0.6122448979591837 1 0.42
true 210 5 1 0.6122448979591837 2 1.97
true 2081 5 1 0.6122448979591837 3 20.91
true 2301 5 1 0.6122448979591837 4 29.87
true 94 5 1 0.6326530612244898 1 0.43
true 388 5 1 0.6326530612244898 2 3.34
true 988 5 1 0.6326530612244898 3 10.67
true 2045 5 1 0.6326530612244898 4 27.96
true 86 5 1 0.6530612244897959 1 0.43
true 605 5 1 0.6530612244897959 2 4.65
