nsites nqubits0 h nlayers
15 2 0.5 3

g_converged iter nqubits0 time
true 2353 2 117.03
true 8815 3 341.94
true 2830 4 115.6
true 4624 5 172.82
true 3350 6 131.81
true 4970 7 190.59
true 7817 8 290.31
true 7919 9 310.82
true 9488 10 370.93
true 30580 11 1130.97
true 40081 12 1539.47
true 14831 13 565.94
true 47095 14 1754.76
true 8966 15 347.54
