g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 7.944841351470444e-8 239 4 1 0.0 3 0.0 1.21
true 7.189609979585398e-8 438 4 1 0.0 4 0.0 2.86
true 1.6057917666678634e-6 413 4 2 0.0 3 0.0 1.88
true 5.914130656564653e-6 409 4 2 0.0 4 0.0 2.63
true 7.987746214466185e-8 261 4 3 0.0 3 0.0 1.46
true 3.173545387202825e-6 536 4 3 0.0 4 0.0 3.21
true 3.1415154067016005e-6 643 4 4 0.0 3 0.0 2.89
true 6.048704744993083e-7 528 4 4 0.0 4 0.0 3.15
true 1.3663419012877043e-7 326 4 1 0.04 3 5.221054521751489e-7 1.53
true 8.396936540533417e-8 352 4 1 0.04 4 5.221054521751489e-7 2.43
true 2.936665873892741e-6 367 4 2 0.04 3 5.221054521751489e-7 1.78
true 3.8076262224573387e-6 691 4 2 0.04 4 5.221054521751489e-7 3.9
true 3.3686436491375815e-6 390 4 3 0.04 3 5.221054521751489e-7 1.77
true 0.00014675699868900902 377 4 3 0.04 4 5.221054521751489e-7 2.49
true 1.7124207507546174e-7 333 4 4 0.04 3 5.221054521751489e-7 1.59
true 1.082056077628124e-6 1149 4 4 0.04 4 5.221054521751489e-7 6.3
true 9.258454117477832e-6 304 4 1 0.08 3 0.00031555771092967207 1.54
true 6.8308369546299375e-6 337 4 1 0.08 4 0.00031555771092967207 2.24
true 4.847954086506512e-7 312 4 2 0.08 3 0.00031555771092967207 1.56
true 6.919258840665243e-6 534 4 2 0.08 4 0.00031555771092967207 3.33
true 1.523626971994263e-5 303 4 3 0.08 3 0.00031555771092967207 1.48
true 8.418530814550499e-6 910 4 3 0.08 4 0.00031555771092967207 5.07
true 4.068139801326198e-5 308 4 4 0.08 3 0.00031555771092967207 1.59
true 1.0334991007637795e-5 438 4 4 0.08 4 0.00031555771092967207 2.93
true 6.960349864304494e-6 437 4 1 0.12 3 0.002857451366537061 1.94
true 5.2333065996279515e-6 387 4 1 0.12 4 0.002857451366537061 2.41
true 3.985604722528402e-5 332 4 2 0.12 3 0.002857451366537061 1.57
true 8.798880631524786e-5 416 4 2 0.12 4 0.002857451366537061 2.59
true 0.00021397027575252117 345 4 3 0.12 3 0.002857451366537061 1.63
true 0.00014075073262124574 515 4 3 0.12 4 0.002857451366537061 3.51
true 0.00013340440080722438 417 4 4 0.12 3 0.002857451366537061 1.93
true 0.00016749248499391134 558 4 4 0.12 4 0.002857451366537061 3.37
true 0.0008295688882221652 301 4 1 0.16 3 0.009312166724123666 1.47
true 9.800279541449797e-6 351 4 1 0.16 4 0.009312166724123666 2.28
true 0.000968395400746086 648 4 2 0.16 3 0.009312166724123666 2.81
true 8.590952641440719e-6 1996 4 2 0.16 4 0.009312166724123666 9.96
true 0.0007625266612916737 548 4 3 0.16 3 0.009312166724123666 2.47
true 0.0008143625754965337 790 4 3 0.16 4 0.009312166724123666 4.46
true 0.0004129412280171746 703 4 4 0.16 3 0.009312166724123666 3.14
true 8.699268607915978e-5 1698 4 4 0.16 4 0.009312166724123666 9.16
true 4.609728453408568e-5 735 4 1 0.2 3 0.028809882776728333 2.99
true 5.047543892744422e-6 1030 4 1 0.2 4 0.028809882776728333 5.52
true 5.678101851741557e-5 956 4 2 0.2 3 0.028809882776728333 3.91
true 8.077130695716139e-5 726 4 2 0.2 4 0.028809882776728333 4.26
true 0.002979950669181571 407 4 3 0.2 3 0.028809882776728333 2.04
true 0.0014307864696668782 1888 4 3 0.2 4 0.028809882776728333 9.92
true 6.216239219473951e-5 691 4 4 0.2 3 0.028809882776728333 2.99
true 6.353471301562275e-5 902 4 4 0.2 4 0.028809882776728333 5.01
true 5.111646675010073e-5 1039 4 1 0.24 3 0.08188079160576314 4.18
true 2.72890404529047e-6 875 4 1 0.24 4 0.08188079160576314 5.11
true 7.187793814097954e-5 775 4 2 0.24 3 0.08188079160576314 3.19
true 3.6076080448699255e-5 1588 4 2 0.24 4 0.08188079160576314 8.08
true 0.005333826401531534 679 4 3 0.24 3 0.08188079160576314 2.82
true 8.789359227438324e-5 1267 4 3 0.24 4 0.08188079160576314 6.72
true 0.007801706811152498 878 4 4 0.24 3 0.08188079160576314 3.7
true 0.00020134840340986504 882 4 4 0.24 4 0.08188079160576314 4.91
true 2.980401499047547e-5 993 4 1 0.28 3 0.1955000413843353 3.95
true 3.341405242501816e-5 473 4 1 0.28 4 0.1955000413843353 2.69
true 0.00010489554885864671 441 4 2 0.28 3 0.1955000413843353 1.87
true 5.123766886050429e-5 1117 4 2 0.28 4 0.1955000413843353 6.15
true 0.00014218825705556806 755 4 3 0.28 3 0.1955000413843353 3.13
true 0.0005104230078759412 719 4 3 0.28 4 0.1955000413843353 3.93
true 6.454890797769064e-5 1444 4 4 0.28 3 0.1955000413843353 5.79
true 1.309602949987887e-5 1263 4 4 0.28 4 0.1955000413843353 6.9
true 4.090329598760434e-5 381 4 1 0.32 3 0.3673031991535092 1.8
true 3.614497594561783e-7 529 4 1 0.32 4 0.3673031991535092 3.08
true 0.00014339694760884258 772 4 2 0.32 3 0.3673031991535092 3.32
true 4.179803506818014e-5 2745 4 2 0.32 4 0.3673031991535092 13.64
true 8.902136376058116e-5 554 4 3 0.32 3 0.3673031991535092 2.53
true 1.4476427086758855e-5 1136 4 3 0.32 4 0.3673031991535092 6.06
true 9.923710134902841e-5 922 4 4 0.32 3 0.3673031991535092 3.83
