g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 0.09374244325491021 849 15 1 1.1 1 0.31585054782511807 0.0 23.9877416
true 0.09312426489970255 2626 15 1 1.1 2 0.31585054782511807 0.0 93.5324992
true 0.01398293471651213 3300 15 1 1.1 3 0.31585054782511807 0.0 162.460101
true 0.010287931400828676 75038 15 1 1.1 4 0.31585054782511807 0.0 4560.5700477
true 0.19353038048979546 1018 15 8 1.1 1 0.31585054782511807 0.0 12.8599999
true 0.12842156285216383 10248 15 8 1.1 2 0.31585054782511807 0.0 249.6224734
true 0.0050651767418336754 92036 15 8 1.1 3 0.31585054782511807 0.0 3166.4198019
true 0.015623992773283558 15002 15 8 1.1 4 0.31585054782511807 0.0 833.6799054
true 0.19028721910427207 2371 15 15 1.1 1 0.31585054782511807 0.0 31.5013052
true 0.1418502479023532 12772 15 15 1.1 2 0.31585054782511807 0.0 322.4081389
true 0.008058862171558509 96888 15 15 1.1 3 0.31585054782511807 0.0 3125.061423
true 0.07638702110133372 25656 15 15 1.1 4 0.31585054782511807 0.0 1233.1206501
true 0.08739942276788537 510 15 1 1.12 1 0.3005536150631203 0.0 7.1218062
true 0.1238315264819444 4661 15 1 1.12 2 0.3005536150631203 0.0 111.9472276
true 0.012228545141954206 27597 15 1 1.12 3 0.3005536150631203 0.0 1049.5473225
true 0.019129533035567192 74115 15 1 1.12 4 0.3005536150631203 0.0 4550.6122192
true 0.18922772528296286 1014 15 8 1.12 1 0.3005536150631203 0.0 15.2876384
true 0.01031961936393807 12187 15 8 1.12 2 0.3005536150631203 0.0 312.1394964
true 0.10836368722620006 19153 15 8 1.12 3 0.3005536150631203 0.0 782.9432701
true 0.1255047824572111 44252 15 8 1.12 4 0.3005536150631203 0.0 2713.5974137
true 0.07379673610760006 5018 15 15 1.12 1 0.3005536150631203 0.0 75.2604426
true 0.0750392044365855 14849 15 15 1.12 2 0.3005536150631203 0.0 374.8412567
true 0.011632625857181582 89421 15 15 1.12 3 0.3005536150631203 0.0 3194.0480892
true 0.014074993840517287 73570 15 15 1.12 4 0.3005536150631203 0.0 4560.3764506
true 0.08176929859750909 696 15 1 1.14 1 0.2865771353455721 0.0 9.7660291
true 0.08274668745245728 10174 15 1 1.14 2 0.2865771353455721 0.0 267.5066152
true 0.07972063605205243 12394 15 1 1.14 3 0.2865771353455721 0.0 512.7344916
true 0.06462985086601547 20577 15 1 1.14 4 0.2865771353455721 0.0 1364.4290651
true 0.29078601084789546 819 15 8 1.14 1 0.2865771353455721 0.0 12.2515589
true 0.11718255440905219 13964 15 8 1.14 2 0.2865771353455721 0.0 362.0000742
true 0.04430856506409889 24099 15 8 1.14 3 0.2865771353455721 0.0 970.4880907
true 0.11727862754507415 53782 15 8 1.14 4 0.2865771353455721 0.0 3363.0638319
