g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 0.03400114037198293 168 6 1 1.51 1 0.14860607298695988 0.0 0.8207121
true 0.0010540873030773779 657 6 1 1.51 2 0.14860607298695988 0.0 5.2415526
true 0.00012386879138615026 2192 6 1 1.51 3 0.14860607298695988 0.0 21.1883538
true 0.0003704980311770578 4524 6 1 1.51 4 0.14860607298695988 0.0 55.2222082
true 0.033643513277224646 150 6 2 1.51 1 0.14860607298695988 0.0 0.7020619
true 0.0009653291933536257 1064 6 2 1.51 2 0.14860607298695988 0.0 7.8199985
true 0.0010017066994389145 5224 6 2 1.51 3 0.14860607298695988 0.0 50.6671328
true 0.01620439585978095 1766 6 2 1.51 4 0.14860607298695988 0.0 23.4126816
true 0.03352414757988431 132 6 3 1.51 1 0.14860607298695988 0.0 0.7035697
true 0.00098006116032003 1609 6 3 1.51 2 0.14860607298695988 0.0 11.7077735
true 0.0015450387769337752 3161 6 3 1.51 3 0.14860607298695988 0.0 30.9046907
true 0.0008826986793453543 3605 6 3 1.51 4 0.14860607298695988 0.0 45.596961
true 0.03243081862260537 133 6 4 1.51 1 0.14860607298695988 0.0 0.6735441
true 0.0007956730232123871 1186 6 4 1.51 2 0.14860607298695988 0.0 8.540083
true 0.0010961860049348987 3602 6 4 1.51 3 0.14860607298695988 0.0 35.0641675
true 0.00019104069690099867 4174 6 4 1.51 4 0.14860607298695988 0.0 50.5134675
true 0.03177447359218164 132 6 5 1.51 1 0.14860607298695988 0.0 0.6835483
true 0.001843883778418054 2165 6 5 1.51 2 0.14860607298695988 0.0 16.523188
true 0.0003655984894798792 4066 6 5 1.51 3 0.14860607298695988 0.0 40.3803227
true 0.0006578952694567652 3460 6 5 1.51 4 0.14860607298695988 0.0 44.5666917
true 0.02647903943963061 159 6 6 1.51 1 0.14860607298695988 0.0 0.8133934
true 0.0006985159771973337 1316 6 6 1.51 2 0.14860607298695988 0.0 9.6629522
true 0.0004943781069167152 1840 6 6 1.51 3 0.14860607298695988 0.0 19.3162189
true 0.0005895610021721213 4113 6 6 1.51 4 0.14860607298695988 0.0 51.1122187
true 0.03345548475694027 143 6 1 1.52 1 0.14676781227962965 0.0 0.6518511
true 0.0010240285566466278 994 6 1 1.52 2 0.14676781227962965 0.0 7.483509
true 0.0014061925078962534 820 6 1 1.52 3 0.14676781227962965 0.0 8.9952142
true 0.0009919934556248955 4791 6 1 1.52 4 0.14676781227962965 0.0 61.868541
true 0.033110814057709326 128 6 2 1.52 1 0.14676781227962965 0.0 0.6254896
true 0.0009382573186778598 1179 6 2 1.52 2 0.14676781227962965 0.0 8.802455
true 0.0005636123988198849 1935 6 2 1.52 3 0.14676781227962965 0.0 19.1400973
true 0.00039923208679840116 3616 6 2 1.52 4 0.14676781227962965 0.0 45.1583993
true 0.03299578026393055 152 6 3 1.52 1 0.14676781227962965 0.0 0.7587629
true 0.000953738538760814 742 6 3 1.52 2 0.14676781227962965 0.0 5.577031
true 9.640238890038881e-5 2076 6 3 1.52 3 0.14676781227962965 0.0 20.7973792
true 0.0007438918548282788 1725 6 3 1.52 4 0.14676781227962965 0.0 22.7159511
true 0.03193260181906972 176 6 4 1.52 1 0.14676781227962965 0.0 0.8352081
true 0.0007717464787903444 1227 6 4 1.52 2 0.14676781227962965 0.0 8.5776051
true 0.023818349601307715 3131 6 4 1.52 3 0.14676781227962965 0.0 31.5824396
true 0.0005222023274093629 9292 6 4 1.52 4 0.14676781227962965 0.0 115.3887184
true 0.21818800746159422 167 6 5 1.52 1 0.14676781227962965 0.0 0.8464127
true 0.0010422833008768562 970 6 5 1.52 2 0.14676781227962965 0.0 7.6570164
true 0.0010501960630301065 4684 6 5 1.52 3 0.14676781227962965 0.0 46.9629539
true 0.0008800848902782099 4954 6 5 1.52 4 0.14676781227962965 0.0 62.4525717
true 0.1831651008198426 167 6 6 1.52 1 0.14676781227962965 0.0 0.8500028
true 0.006353843153032594 1632 6 6 1.52 2 0.14676781227962965 0.0 12.5058318
true 0.016144958466429892 2349 6 6 1.52 3 0.14676781227962965 0.0 24.9620716
true 0.0004962658279028439 3028 6 6 1.52 4 0.14676781227962965 0.0 39.1831767
true 0.03292338882991225 107 6 1 1.53 1 0.14496629210198328 0.0 0.5202598
true 0.0009937948039482336 1424 6 1 1.53 2 0.14496629210198328 0.0 10.3881122
true 0.00044766312475247316 2057 6 1 1.53 3 0.14496629210198328 0.0 20.2301116
true 0.000493166492913033 2169 6 1 1.53 4 0.14496629210198328 0.0 27.9672307
true 0.03259105854018002 123 6 2 1.53 1 0.14496629210198328 0.0 0.5699382
true 0.0009115897161663389 1295 6 2 1.53 2 0.14496629210198328 0.0 9.3785582
true 6.748496520392333e-5 4127 6 2 1.53 3 0.14496629210198328 0.0 40.5401079
true 0.016052574865723673 2632 6 2 1.53 4 0.14496629210198328 0.0 33.2198109
true 0.03248053349559582 97 6 3 1.53 1 0.14496629210198328 0.0 0.5098187
true 0.0009250821504720452 1222 6 3 1.53 2 0.14496629210198328 0.0 8.6285598
true 0.00010901589901503768 7443 6 3 1.53 3 0.14496629210198328 0.0 73.0515051
true 0.0011567999763958576 2973 6 3 1.53 4 0.14496629210198328 0.0 37.3547345
true 0.031446588987368226 322 6 4 1.53 1 0.14496629210198328 0.0 1.4928641
true 0.0007504427156226762 1947 6 4 1.53 2 0.14496629210198328 0.0 13.9380905
true 0.02358604020550774 2260 6 4 1.53 3 0.14496629210198328 0.0 22.7888905
true 0.0007142465020418265 5926 6 4 1.53 4 0.14496629210198328 0.0 74.4222163
true 0.03082600774848989 165 6 5 1.53 1 0.14496629210198328 0.0 0.7772882
true 0.0007510409457827993 853 6 5 1.53 2 0.14496629210198328 0.0 6.4241177
true 0.01891882356415888 1872 6 5 1.53 3 0.14496629210198328 0.0 19.5693966
true 0.0006479334413266979 2955 6 5 1.53 4 0.14496629210198328 0.0 39.0455069
true 0.18138099756764012 197 6 6 1.53 1 0.14496629210198328 0.0 1.004157
true 0.0007312492936363083 578 6 6 1.53 2 0.14496629210198328 0.0 4.6115032
true 0.00029902114082420533 1970 6 6 1.53 3 0.14496629210198328 0.0 20.3935653
true 0.0005592211643334436 7942 6 6 1.53 4 0.14496629210198328 0.0 98.2903691
true 0.03240479520026873 95 6 1 1.54 1 0.14320052060549301 0.0 0.4811907
true 0.0009652996114458134 1477 6 1 1.54 2 0.14320052060549301 0.0 10.904834
true 0.00029397858320895365 1481 6 1 1.54 3 0.14320052060549301 0.0 14.912587
true 0.0007253476670402992 3559 6 1 1.54 4 0.14320052060549301 0.0 44.6301456
true 0.032084012140790014 121 6 2 1.54 1 0.14320052060549301 0.0 0.592483
true 0.000885632931290764 1356 6 2 1.54 2 0.14320052060549301 0.0 9.6706592
