g_converged min_loss iter nsites nqubits0 h nlayers SvN m time
true 2.195919852195083e-5 12215 15 8 0.2 4 8.424689439829476e-5 0.9928666666666665 504.9031297
true 0.13335249129692472 1291 15 15 0.2 1 8.424689439829476e-5 0.9928666666666665 18.0437381
true 0.06670254678141536 7085 15 15 0.2 2 8.424689439829476e-5 0.9928666666666665 158.4605996
true 0.06673315386029659 7155 15 15 0.2 3 8.424689439829476e-5 0.9928666666666665 240.973199
true 0.0002221318327729464 28530 15 15 0.2 4 8.424689439829476e-5 0.9928666666666665 1179.2957534
true 1.4092062172843534e-5 443 15 1 0.22 1 0.0001206767989355488 0.9913333333333332 6.7108081
true 2.332735795679275e-5 942 15 1 0.22 2 0.0001206767989355488 0.9913333333333332 26.1981815
true 2.7349405436805085e-5 1673 15 1 0.22 3 0.0001206767989355488 0.9913333333333332 89.725225
true 3.5450182605700764e-5 4475 15 1 0.22 4 0.0001206767989355488 0.9913333333333332 236.8568543
true 0.12501071495493632 591 15 8 0.22 1 0.0001206767989355488 0.9913333333333332 9.4010919
true 0.12502664944457434 4141 15 8 0.22 2 0.0001206767989355488 0.9913333333333332 93.5139994
true 1.198962649320151e-5 17540 15 8 0.22 3 0.0001206767989355488 0.9913333333333332 592.0692129
true 0.000510075438118783 84798 15 8 0.22 4 0.0001206767989355488 0.9913333333333332 3569.5597602
true 0.20002728295029443 1637 15 15 0.22 1 0.0001206767989355488 0.9913333333333332 22.0115242
true 0.03263348914793631 12159 15 15 0.22 2 0.0001206767989355488 0.9913333333333332 273.9268208
true 6.83585447347664e-5 9964 15 15 0.22 3 0.0001206767989355488 0.9913333333333332 312.3876344
true 0.00013823621674569447 21426 15 15 0.22 4 0.0001206767989355488 0.9913333333333332 1007.1581045
true 2.1089367579774088e-5 880 15 1 0.24 1 0.00016764921839117265 0.9899333333333336 12.0133777
true 5.7922951848476956e-5 910 15 1 0.24 2 0.00016764921839117265 0.9899333333333336 25.7193352
true 4.5634019406215476e-5 2344 15 1 0.24 3 0.00016764921839117265 0.9899333333333336 88.9460087
true 0.00017338852647919012 4775 15 1 0.24 4 0.00016764921839117265 0.9899333333333336 233.2937025
true 0.12501576278863577 478 15 8 0.24 1 0.00016764921839117265 0.9899333333333336 7.4017205
