g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 3.5449832030964856e-7 56 4 1 0.0 1 0.0 7.922664
true 7.634601567607646e-8 151 4 1 0.0 2 0.0 0.9350928
true 6.970070803857809e-8 249 4 1 0.0 3 0.0 2.363478
true 3.3725256129435444e-6 516 4 1 0.0 4 0.0 6.0023997
true 7.517012580449123e-7 79 4 2 0.0 1 0.0 0.2593716
true 1.1197537333473839e-7 285 4 2 0.0 2 0.0 1.5428948
true 1.2379199409995323e-7 314 4 2 0.0 3 0.0 2.9867471
true 1.941236869834606e-6 424 4 2 0.0 4 0.0 4.9881477
true 5.122934404281724e-7 84 4 3 0.0 1 0.0 0.2783633
true 6.64630825412497e-7 266 4 3 0.0 2 0.0 1.5676521
true 2.1511307723987017e-7 587 4 3 0.0 3 0.0 5.0761198
true 1.1663253878320864e-5 622 4 3 0.0 4 0.0 6.963731
true 6.992905134256544e-7 75 4 4 0.0 1 0.0 0.3153193
true 8.542153069224234e-6 161 4 4 0.0 2 0.0 1.0770858
true 0.0002251149931905977 362 4 4 0.0 3 0.0 3.6991065
true 0.00011439813322369763 801 4 4 0.0 4 0.0 9.6652587
true 1.387669301133876e-7 60 4 1 0.01 1 2.049427791020832e-6 0.2212963
true 2.6823591331437413e-7 122 4 1 0.01 2 2.049427791020832e-6 0.8574737
true 1.7332605583564309e-6 345 4 1 0.01 3 2.049427791020832e-6 3.4521664
true 1.2835402165012333e-6 432 4 1 0.01 4 2.049427791020832e-6 5.0234927
true 9.013185586215222e-7 66 4 2 0.01 1 2.049427791020832e-6 0.2676086
true 4.6266818215512373e-7 165 4 2 0.01 2 2.049427791020832e-6 1.0294101
true 7.286171826159649e-7 264 4 2 0.01 3 2.049427791020832e-6 2.550833
true 3.275269893632249e-7 469 4 2 0.01 4 2.049427791020832e-6 5.3393178
true 3.1564094806387405e-7 62 4 3 0.01 1 2.049427791020832e-6 0.2507272
true 2.087140074454504e-6 268 4 3 0.01 2 2.049427791020832e-6 1.6148894
true 3.6762341424726824e-7 299 4 3 0.01 3 2.049427791020832e-6 2.8058877
true 2.874485501236368e-6 856 4 3 0.01 4 2.049427791020832e-6 8.4947346
true 0.25000034519497677 79 4 4 0.01 1 2.049427791020832e-6 0.2998129
true 4.4010294811269723e-7 290 4 4 0.01 2 2.049427791020832e-6 1.705105
true 4.080442731896339e-7 524 4 4 0.01 3 2.049427791020832e-6 4.125309
true 1.996840308937653e-7 750 4 4 0.01 4 2.049427791020832e-6 7.9444717
true 2.392696900055391e-7 55 4 1 0.02 1 1.5519341457791147e-8 0.1833341
true 1.451837944865808e-7 135 4 1 0.02 2 1.5519341457791147e-8 0.8398721
true 1.210394329209663e-8 211 4 1 0.02 3 1.5519341457791147e-8 2.054136
true 1.328204853878745e-7 475 4 1 0.02 4 1.5519341457791147e-8 5.5274328
