g_converged min_loss iter nsites nqubits0 h nlayers SvN time
true 2.0411619217175492e-5 266 8 1 0.24 1 0.00017048896560115199 9.2038753
true 3.8470269451085226e-5 422 8 1 0.24 2 0.00017048896560115199 7.7414704
true 2.0317718075424374e-5 995 8 1 0.24 3 0.00017048896560115199 18.98814
true 2.6830245513309592e-5 1105 8 1 0.24 4 0.00017048896560115199 32.1378871
true 2.078478524603078e-5 201 8 2 0.24 1 0.00017048896560115199 1.6841244
true 3.577316604552738e-5 396 8 2 0.24 2 0.00017048896560115199 7.0386456
true 0.0001252067118463207 753 8 2 0.24 3 0.00017048896560115199 17.3710684
true 0.0001454295741956657 1363 8 2 0.24 4 0.00017048896560115199 40.6790013
true 2.0809918409766166e-5 504 8 3 0.24 1 0.00017048896560115199 3.9600633
true 2.7050616868122084e-5 408 8 3 0.24 2 0.00017048896560115199 6.6224611
true 2.9807855957390366e-5 1158 8 3 0.24 3 0.00017048896560115199 22.6909303
true 0.00010920765374472508 1232 8 3 0.24 4 0.00017048896560115199 35.2215699
true 2.319034337214254e-5 177 8 4 0.24 1 0.00017048896560115199 1.6272564
true 8.597330956747196e-5 691 8 4 0.24 2 0.00017048896560115199 9.9750897
true 8.24791722981999e-5 2028 8 4 0.24 3 0.00017048896560115199 38.4360128
true 0.00010855599857539922 2619 8 4 0.24 4 0.00017048896560115199 79.0727095
true 2.2087002641901777e-5 221 8 5 0.24 1 0.00017048896560115199 2.0751052
true 6.988537552522489e-5 1271 8 5 0.24 2 0.00017048896560115199 19.1917972
true 5.226982604666919e-5 2135 8 5 0.24 3 0.00017048896560115199 44.2565302
true 0.00017402089950400157 3726 8 5 0.24 4 0.00017048896560115199 98.4924392
true 0.1667145043945364 213 8 6 0.24 1 0.00017048896560115199 2.1080884
true 9.195789014360134e-5 608 8 6 0.24 2 0.00017048896560115199 9.6911716
true 0.00010564708420336226 1057 8 6 0.24 3 0.00017048896560115199 24.5137064
true 0.0001880774224347348 1482 8 6 0.24 4 0.00017048896560115199 46.4036079
true 0.2857724572929608 202 8 7 0.24 1 0.00017048896560115199 2.0685386
true 0.28572245284322595 895 8 7 0.24 2 0.00017048896560115199 13.7328716
true 0.0001483996812459381 1566 8 7 0.24 3 0.00017048896560115199 32.9410245
true 7.43784541311949e-6 3851 8 7 0.24 4 0.00017048896560115199 103.5433009
